Date,Name,Session_Type,Sleep_Duration,Sleep_Score,Sleep_Quality,Soreness,Stress,Distance,Acceleration_Count,Max_Acceleration,Deceleration_Count,Max_Deceleration,Max_Speed
10/31/2022,Bill,Practice,5,78,6,6.5,8,8054,77,4.53,66,5.9,30.86
10/31/2022,Jack,Practice,6,82,7,3,7,5422,56,4.99,41,7.9,28.95
10/31/2022,Franco,Practice,5,78,6,4,8,5131,59,5.72,70,7.52,29.6
10/31/2022,Elijiah,Practice,9,92,8.5,5.5,6,6873,61,4.8,39,6.73,25.72
10/31/2022,Micah,Practice,10,96,9,4,5,6161,40,5.79,60,5.71,25.57
10/31/2022,Aaron,Practice,10,96,9,4,5,5396,55,5.79,71,6.94,28.87
10/31/2022,Caden,Practice,7,84,7.5,6.5,6.5,7969,57,5.87,63,7.78,25.94
10/31/2022,Trevor,Practice,9,92,8.5,3,6,5254,74,5.61,49,6.77,25.92
10/31/2022,Jonathon,Practice,10,96,9,6.5,5,7842,43,5.74,33,5.72,28.56
10/31/2022,Santiago,Practice,9,92,8.5,4.5,6,6461,74,6.88,45,5.86,30.86
11/1/2022,Bill,Practice,6,82,7,6,7,6886,44,5.93,49,5.88,25.74
11/1/2022,Jack,Practice,5,78,6,4.5,8,6834,53,6.58,56,6.82,25.55
11/1/2022,Franco,Practice,6,82,7,5,7,7657,63,5.57,60,6.64,26.63
11/1/2022,Elijiah,Practice,8,87,8,3,6,6101,80,5.88,32,5.77,26.53
11/1/2022,Micah,Practice,10,96,9,5.5,5,7024,75,5.88,60,7.79,27.58
11/1/2022,Aaron,Practice,8,87,8,4,5,7305,67,6.70,31,7.94,27.83
11/1/2022,Caden,Practice,7,84,7.5,3,6.5,5118,62,4.64,60,6.86,28.95
11/1/2022,Trevor,Practice,5,78,6,4.5,8,6838,67,6.65,70,5.56,24.5
11/1/2022,Jonathon,Practice,9,92,8.5,6.5,6,7884,56,6.96,68,6.5,30.96
11/1/2022,Santiago,Practice,5,78,6,4.5,8,6670,59,6.95,67,7.92,25.51
11/2/2022,Bill,Practice,7,84,7.5,5,6.5,6717,78,4.57,80,6.58,29.5
11/2/2022,Jack,Practice,7,84,7.5,5.5,6.5,7210,56,4.96,37,6.67,29.74
11/2/2022,Franco,Practice,8,87,8,3,5,6091,57,6.61,70,6.87,30.5
11/2/2022,Elijiah,Practice,10,96,9,4.5,5,6650,76,5.77,68,7.81,26.83
11/2/2022,Micah,Practice,6,82,7,3,7,6116,73,5.74,39,6.75,28.73
11/2/2022,Aaron,Practice,8,87,8,4.5,5,6446,65,4.66,41,6.55,27.89
11/2/2022,Caden,Practice,5,78,6,5.5,8,6937,52,5.99,78,5.77,28.52
11/2/2022,Trevor,Practice,8,87,8,3,7,5412,40,4.57,66,5.84,24.94
11/2/2022,Jonathon,Practice,9,92,8.5,6.5,6,7994,47,5.63,79,5.9,24.52
11/2/2022,Santiago,Practice,7,84,7.5,4.5,6.5,6828,60,5.91,74,6.67,30.75
11/3/2022,Bill,Practice,5,78,6,6.5,8,7938,43,6.78,37,5.76,26.88
11/3/2022,Jack,Practice,7,84,7.5,3,6.5,5802,72,5.52,51,5.71,30.85
11/3/2022,Franco,Practice,5,78,6,6.5,8,8035,60,6.87,28,7.63,24.76
11/3/2022,Elijiah,Practice,9,92,8.5,3,6,6149,45,5.83,49,5.8,27.51
11/3/2022,Micah,Practice,6,82,7,3,7,5143,71,4.51,38,7.72,28.65
11/3/2022,Aaron,Practice,7,84,7.5,4.5,6.5,6611,81,4.62,72,7.5,25.91
11/3/2022,Caden,Practice,5,78,6,3,8,5659,65,5.85,43,5.89,26.81
11/3/2022,Trevor,Practice,8,87,8,3,5,5613,54,5.52,66,5.52,30.5
11/3/2022,Jonathon,Practice,8,87,8,4.5,6,6557,51,6.89,66,5.72,29.71
11/3/2022,Santiago,Practice,8,87,8,5.5,4,7055,63,4.80,60,5.8,26.82
11/4/2022,Bill,Practice,7,84,7.5,3,5,5318,69,4.87,63,7.7,24.7
11/4/2022,Jack,Practice,8,87,8,6.5,4,8026,71,4.70,46,6.69,27.67
11/4/2022,Franco,Practice,10,96,9,4.5,5,6280,55,4.72,40,5.57,28.99
11/4/2022,Elijiah,Practice,8,87,8,4.5,4,6352,80,4.72,77,7.7,27.73
11/4/2022,Micah,Practice,7,84,7.5,6,6.5,7455,74,4.61,56,5.63,27.87
11/4/2022,Aaron,Practice,9,92,8.5,6.5,6,8053,83,6.91,34,7.77,26.68
11/4/2022,Caden,Practice,6,82,7,6.5,7,7814,46,6.6,30,7.53,30.96
11/4/2022,Trevor,Practice,10,96,9,3,5,6090,55,5.92,44,6.91,28.75
11/4/2022,Jonathon,Practice,9,92,8.5,6.5,6,8067,75,6.55,28,7.77,25.52
11/4/2022,Santiago,Practice,7,84,7.5,3,6.5,6043,57,5.67,59,7.83,24.66
11/5/2022,Bill,Game,8,87,8,7.5,4,9626,61,4.89,54,7.92,28.61
11/5/2022,Jack,Game,10,96,9,8,5,10391,31,6.67,36,5.82,24.98
11/5/2022,Franco,Game,7,84,7.5,7.5,6.5,9307,70,6.86,45,5.73,26.73
